LAT;;;;;50.0880;50.0880
LON;;;;;14.4208;14.4208
ASL;;;;;202.000;202.000
CITY;;;;;Prague;Prague
DOMAIN;;;;;NEMS4;NEMS4
LEVEL;;;;;2 m above gnd;2 m above gnd
NAME;;;;;Temperature;Relative humidity
UNIT;;;;;°C;%
AGGREGATION;;;;;;
UTC_OFFSET;;;;;2;2

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative humidity  [2 m above gnd]
2017;04;16;15;00;11.20;41.00
2017;04;16;16;00;10.41;43.00
2017;04;16;17;00;10.19;43.00
2017;04;16;18;00;9.68;45.00
2017;04;16;19;00;9.23;46.00
2017;04;16;20;00;8.68;49.00
2017;04;16;21;00;8.18;51.00
2017;04;16;22;00;7.69;56.00
2017;04;16;23;00;7.01;59.00
2017;04;17;00;00;6.21;63.00
2017;04;17;01;00;5.55;67.00
2017;04;17;02;00;4.87;71.00
2017;04;17;03;00;4.21;76.00
2017;04;17;04;00;4.23;77.00
2017;04;17;05;00;4.03;80.00
2017;04;17;06;00;4.06;82.00
2017;04;17;07;00;4.52;83.00
2017;04;17;08;00;4.92;86.00
2017;04;17;09;00;5.12;84.00
2017;04;17;10;00;5.27;87.00
2017;04;17;11;00;5.72;87.00
2017;04;17;12;00;5.84;84.00
2017;04;17;13;00;6.23;81.00
2017;04;17;14;00;8.75;64.00
2017;04;17;15;00;8.44;66.00
2017;04;17;16;00;8.39;66.00
2017;04;17;17;00;8.34;67.00
2017;04;17;18;00;7.85;69.00
2017;04;17;19;00;7.32;74.00
2017;04;17;20;00;6.63;80.00
2017;04;17;21;00;6.10;83.00
2017;04;17;22;00;6.12;75.00
2017;04;17;23;00;5.95;71.00
2017;04;18;00;00;5.32;73.00
2017;04;18;01;00;4.68;76.00
2017;04;18;02;00;3.84;79.00
2017;04;18;03;00;2.91;82.00
2017;04;18;04;00;2.02;86.00
2017;04;18;05;00;1.68;87.00
2017;04;18;06;00;1.45;89.00
2017;04;18;07;00;2.61;87.00
2017;04;18;08;00;4.03;81.00
2017;04;18;09;00;4.13;82.00
2017;04;18;10;00;5.11;72.00
2017;04;18;11;00;4.95;70.00
2017;04;18;12;00;5.35;67.00
2017;04;18;13;00;5.68;65.00
2017;04;18;14;00;6.02;61.00
2017;04;18;15;00;5.99;62.00
2017;04;18;16;00;5.87;65.00
2017;04;18;17;00;5.92;67.00
2017;04;18;18;00;4.80;73.00
2017;04;18;19;00;3.50;86.00
2017;04;18;20;00;3.46;88.00
2017;04;18;21;00;3.37;80.00
2017;04;18;22;00;3.09;80.00
2017;04;18;23;00;3.05;81.00
